International Summer School 2026,,,,,,,,,
Date, 9:30AM - 10:30AM,11:00AM - 12:00 Noon,"12:15 PM - 1:15 PM
Lunch Break",2:00 PM - 3:00 PM,3:00 PM - 4:00 PM,Breakfast,Lunch,Dinner,Buddies
"Saturday, June 27, 2026",Arrivals,,,,,,,,
"Sunday, June 28, 2026",Arrivals,,,,,,,,
"Monday, 29 June, 2026","Welcome,Orientation and campus tour",,Lunch Break,"Dr Sharon Valarmathi 
(Social Outreach, Service Learning and Volunteerism)",Dr. Bidyut (Indian Literature  and Philosophy),✓,✓,✓,"All buddies till lunch. Then Aditya, Neha, Saanvi."
"Tuesday, 30 June, 2026","Dr Sharon Valarmathi 
(Social Outreach, Service Learning and Volunteerism)","Dr Sharon Valarmathi 
(Social Outreach, Service Learning and Volunteerism)",Lunch Break,"Antardrishti
( Indian Culture and Wellness & Dance) Dr.Anuradha Sathiyaseelan","Antardrishti
( Indian Culture and Wellness & Dance) Dr.Anuradha Sathiyaseelan",✓,✓,✓,"Aratrika, Deepali, Dais"
"Wednesday, 1 July, 2026",Excursion - Bangalore Sightseeing,,,,,✓,✓,On own,"Laya, Deepali, Lionel"
"Thursday, 2 July, 2026","Antardrishti
( Indian Culture and Wellness & Dance) Dr.Vijayalaya","Dr Sharon Valarmathi 
(Social Outreach, Service Learning and Volunteerism)",Lunch Break,"Dr. Nancy 
( Indian Culture and Wellness & Dance)","Dr. Nancy 
( Indian Culture and Wellness & Dance)",✓,✓,✓,"Tenzin, Maitri, Ben"
"Friday, 3 July, 2026","Dr. Nancy 
( Indian Culture and Wellness & Dance)","Dr Cyril
(Social Outreach, Service Learning and Volunteerism) ",Lunch Break,"Antardrishti
( Indian Culture and Wellness & Dance)Dr.Mitali","Antardrishti
( Indian Culture and Wellness & Dance)Dr.Priyadarshini",✓,On own,✓,"Rafael, Srilaasya, Niti"
"Saturday, 4 July, 2026","Antardrishti
( Indian Culture and Wellness & Dance) Dr. Sathiyaseelan","Antardrishti
( Indian Culture and Wellness & Dance) Dr.Deepak Kumar",Lunch Break and free time ,,,✓,✓,On own,"Neha, Jerome, Aratrika"
"Sunday, 5 July, 2026",Holiday,,,,,All Meals on Own,,,
"Monday, 6 July, 2026","Kengeri Campus visit and academic sessions
Overnight stay at Kengeri Campus",,,,,✓,✓,✓,"Niti, Rafael, Dais"
"Tuesday, 7 July, 2026","Depart to Mysore, Sightseeing return to Central Campus by evening/night",,,,,✓,✓,✓,"Niti, Rafael, Dais"
"Wednesday, 8 July, 2026",Dr. Sreelatha. R (Indian Literature and Languages,,Lunch Break,Dr. Bidyut (Indian Literature  and Philosophy),Dr. Bidyut (Indian Literature  and Philosophy),✓,✓,On own,"Alina, Tavishi, Akhil"
"Thursday, 9 July, 2026",Dr. Sreelatha. R (Indian Literature and Languages,"""Environmental Advocacies and Sustainable Initiatives - Jyolsna
(Social Outreach, Service Learning and Volunteerism)""",Lunch Break,"Dr. Nancy 
( Indian Culture and Wellness & Dance)","Dr. Nancy 
( Indian Culture and Wellness & Dance)",✓,✓,✓,"Lionel, Alina, Saanvi"
"Friday, 10 July, 2026",Dr. Sreelatha. R (Indian Literature and Languages,"Development of Volunteering Activities - Jyolsna
(Social Outreach, Service Learning and Volunteerism)",Lunch Break,"Antardrishti
( Indian Culture and Wellness & Dance) Dr.Prasad pujar",Dr. Bidyut (Indian Literature  and Philosophy),✓,On own,✓,"Tenzin, Srilaasya, Laya"
"Saturday, 11 July, 2026",Dr. Bidyut (Indian Literature  and Philosophy),Dr. Bidyut (Indian Literature  and Philosophy),Experiential Culinary Learning - Indian Cooking session (12:15 PM to 2:30 PM),Bollywood Movie Experience (3:30 -4:00 PM  Onwords),,✓,✓,On own,"Lionel, Anu, Tavishi. All buddies for movie"
"Sunday, 12 July, 2026",Holiday,,,,,All Meals on Own,,,
"Monday, 13 July, 2026",Dr. Sreelatha. R (Indian Literature and Languages,"Community Education and Health - Ms Jyolsna
(Social Outreach, Service Learning and Volunteerism)",Lunch Break,"Antardrishti
( Indian Culture and Wellness & Dance) Dr.Rekha Ahuja",Dr. Bidyut (Indian Literature  and Philosophy),✓,On own,✓,"Ben, Maitri, Aditya"
"Tuesday, 14 July, 2026","Dr. Nancy 
( Indian Culture and Wellness & Dance)","Dr Cyril - Women Empowerment
(Social Outreach, Service Learning and Volunteerism) ",Lunch Break,"Antardrishti
( Indian Culture and Wellness & Dance) Dr.Anuradha Sathiyaseelan",Dr. Bidyut (Indian Literature  and Philosophy),✓,✓,On own,"Neha, Tavishi, Saanvi"
"Wednesday, 15 July, 2026",Departure to Delhi ,,,Arrival and checkin to CHRIST Delhi NCR campus,,✓,✓,✓,"Jerome, Anu"
"Thursday, 16 July, 2026","Visit to Taj Mahal, Agra",,,,,✓,✓,✓,"Jerome, Anu"
"Friday, 17 July, 2026",-Session at  CHRIST University Delhi NCR Campus,,Lunch Break,-Session at  CHRIST University Delhi NCR Campus,,✓,✓,✓,"Jerome, Anu"
"Saturday, 18 July, 2026",Delhi Local Sightseeing,,,,,✓,✓,✓,"Jerome, Anu"
"Sunday, 19 July, 2026",Morning - Return to Bangalore,,,,,All Meals on Own,,,
"Monday, 20 July, 2026",Dr. Sreelatha. R (Indian Literature and Languages,"Dr Cyril - Women Empowerment
(Social Outreach, Service Learning and Volunteerism) ",Lunch Break,Dr. Bidyut (Indian Literature  and Philosophy),Dr. Bidyut (Indian Literature  and Philosophy),✓,✓,On own,"Aratrika, Deepali, Rafael"
"Tuesday, 21 July, 2026","Dr. Nancy 
( Indian Culture and Wellness & Dance)",-,Lunch Break,Dr. Sreelatha. R (Indian Literature and Languages,Dr. Bidyut (Indian Literature  and Philosophy),✓,On own,✓,"Akhil, Tenzin, Laya"
"Wednesday, 22 July, 2026",Rural Exposure -  Visit  to Hoskote and  Kolar community development projects - Overnight Camp,,,,,✓,✓,✓,"Srilaasya, Akhil, Maitri"
"Thursday, 23 July, 2026",,,,,,✓,✓,✓,"Srilaasya, Akhil, Maitri"
"Friday, 24 July, 2026","Valedictory & Lunch (11:00 AM- 12:00 Noon) 
Venue:- Campus View, Central Block",,,Free time and Departure,,✓,✓,On own,All buddies
"Saturday, 25 July, 2026",Free time and Departure,,,,,All Meals on Own,,,
"Sunday, 26 July, 2026",Holiday,,,,,All Meals on Own,,,
"Monday, 27 July, 2026",Campus Engagement,,,,,,,,"Neha, Ben, Alina"
"Tuesday, 28 July, 2026",Campus Engagement,,,,,,,,"Aratrika, Tenzin, Tavishi"
"Wednesday, 29 July, 2026",Campus Engagement,,,,,,,,"Rafael, Saanvi, Lionel"
"Thursday, 30 July, 2026",Campus Engagement,,,,,,,,"Niti, Laya, Deepali"
"Friday, 31 July, 2026",Campus Engagement,,,,,,,,"Dais, Ben, Alina"
"Saturday, 1 August, 2026",Free time and Departure,,,,,,,,
,,,,,,,,,
